title,url,metaScore,userScore,genre
F1 2020,https://www.metacritic.com/game/playstation-4/f1-2020,86,7.5,"Genre(s): Racing,                                            Simulation,                                            Automobile                                    "
Death Stranding,https://www.metacritic.com/game/pc/death-stranding,86,3.3,"Genre(s): Action,                                            General                                    "
Panzer Corps 2,https://www.metacritic.com/game/pc/panzer-corps-2,86,5.9,"Genre(s): Strategy,                                            Turn-Based,                                            Tactics                                    "
Cuphead,https://www.metacritic.com/game/playstation-4/cuphead,86,8.1,"Genre(s): Action,                                            Platformer,                                            2D                                    "
13 Sentinels: Aegis Rim,https://www.metacritic.com/game/playstation-4/13-sentinels-aegis-rim,86,8.9,"Genre(s): Role-Playing,                                            Action RPG,                                            Adventure,                                            General                                    "
Streets of Rage 4,https://www.metacritic.com/game/switch/streets-of-rage-4,86,8.4,"Genre(s): General,                                            Action,                                            Beat-'Em-Up,                                            2D                                    "
Desperados III,https://www.metacritic.com/game/pc/desperados-iii,86,8.2,"Genre(s): Strategy,                                            Real-Time,                                            Tactics                                    "
Assassin's Creed Valhalla,https://www.metacritic.com/game/xbox-series-x/assassins-creed-valhalla,86,7.9,"Genre(s): Action Adventure,                                            Open-World                                    "
Huntdown,https://www.metacritic.com/game/switch/huntdown,86,8.4,"Genre(s): Action,                                            General                                    "
Risk of Rain 2,https://www.metacritic.com/game/pc/risk-of-rain-2,85,8.2,"Genre(s): Action,                                            Shooter,                                            Third-Person,                                            Arcade                                    "
Heroes of Hammerwatch - Ultimate Edition,https://www.metacritic.com/game/switch/heroes-of-hammerwatch---ultimate-edition,85,7.3,"Genre(s): Role-Playing,                                            Action RPG                                    "
Deep Rock Galactic,https://www.metacritic.com/game/pc/deep-rock-galactic,85,8,"Genre(s): Action,                                            Shooter,                                            First-Person,                                            Arcade                                    "
Wasteland 3,https://www.metacritic.com/game/pc/wasteland-3,85,7.6,"Genre(s): Role-Playing,                                            Western-Style                                    "
Marvel's Spider-Man: Miles Morales,https://www.metacritic.com/game/playstation-4/marvels-spider-man-miles-morales,85,7.5,"Genre(s): Action Adventure,                                            Open-World                                    "
Marvel's Spider-Man: Miles Morales,https://www.metacritic.com/game/playstation-5/marvels-spider-man-miles-morales,85,7.7,"Genre(s): Action Adventure,                                            Open-World                                    "
Monster Train,https://www.metacritic.com/game/pc/monster-train,85,8.2,"Genre(s): Strategy,                                            Turn-Based,                                            Card Battle                                    "
Bug Fables: The Everlasting Sapling,https://www.metacritic.com/game/switch/bug-fables-the-everlasting-sapling,85,8.3,"Genre(s): Action Adventure,                                            General,                                            Role-Playing,                                            Action RPG                                    "
Huntdown,https://www.metacritic.com/game/pc/huntdown,85,7.8,"Genre(s): Action,                                            General                                    "
Nioh 2,https://www.metacritic.com/game/playstation-4/nioh-2,85,7.9,"Genre(s): Role-Playing,                                            Action RPG                                    "
Bayonetta & Vanquish,https://www.metacritic.com/game/playstation-4/bayonetta-vanquish,85,7.9,"Genre(s): Miscellaneous,                                            Compilation                                    "
Two Point Hospital,https://www.metacritic.com/game/switch/two-point-hospital,85,8.1,"Genre(s): Simulation,                                            Strategy,                                            Management,                                            Virtual,                                            Career,                                            Business / Tycoon                                    "
Manifold Garden,https://www.metacritic.com/game/pc/manifold-garden,85,7.9,"Genre(s): Action Adventure,                                            General                                    "
Crash Bandicoot 4: It's About Time,https://www.metacritic.com/game/playstation-4/crash-bandicoot-4-its-about-time,85,8.3,"Genre(s): Action,                                            Platformer,                                            3D                                    "
Pikmin 3 Deluxe,https://www.metacritic.com/game/switch/pikmin-3-deluxe,85,8.5,"Genre(s): Strategy,                                            Real-Time,                                            General                                    "
Assassin's Creed Valhalla,https://www.metacritic.com/game/pc/assassins-creed-valhalla,85,7.6,"Genre(s): Action Adventure,                                            Open-World                                    "
Desperados III,https://www.metacritic.com/game/xbox-one/desperados-iii,85,7.3,"Genre(s): Strategy,                                            Real-Time,                                            Tactics                                    "
Lonely Mountains: Downhill,https://www.metacritic.com/game/switch/lonely-mountains-downhill,84,7.3,"Genre(s): Sports,                                            Individual,                                            Biking                                    "
Thronebreaker: The Witcher Tales,https://www.metacritic.com/game/switch/thronebreaker-the-witcher-tales,84,7.6,"Genre(s): Strategy,                                            Turn-Based,                                            Card Battle                                    "
If Found...,https://www.metacritic.com/game/pc/if-found,84,6.3,"Genre(s): Adventure,                                            Visual Novel                                    "
Wasteland 3,https://www.metacritic.com/game/xbox-one/wasteland-3,84,7.7,"Genre(s): Role-Playing,                                            Western-Style                                    "
WHAT THE GOLF?,https://www.metacritic.com/game/switch/what-the-golf,84,8.2,"Genre(s): Sports,                                            Individual,                                            Golf,                                            Arcade                                    "
Horace,https://www.metacritic.com/game/switch/horace,84,6.7,"Genre(s): Adventure,                                            General                                    "
Horizon Zero Dawn: Complete Edition,https://www.metacritic.com/game/pc/horizon-zero-dawn-complete-edition,84,5.8,"Genre(s): Role-Playing,                                            Action RPG                                    "
Streets of Rage 4,https://www.metacritic.com/game/pc/streets-of-rage-4,84,7.9,"Genre(s): Action,                                            Beat-'Em-Up,                                            2D                                    "
BioShock: The Collection,https://www.metacritic.com/game/switch/bioshock-the-collection,84,8.7,"Genre(s): Miscellaneous,                                            Compilation                                    "
Yakuza: Like a Dragon,https://www.metacritic.com/game/playstation-4/yakuza-like-a-dragon,84,7.3,"Genre(s): Role-Playing,                                            Japanese-Style                                    "
Two Point Hospital,https://www.metacritic.com/game/xbox-one/two-point-hospital,84,6.5,"Genre(s): Simulation,                                            Strategy,                                            Management,                                            Virtual,                                            Career,                                            Business / Tycoon                                    "
Lair of the Clockwork God,https://www.metacritic.com/game/pc/lair-of-the-clockwork-god,84,7.3,"Genre(s): Adventure,                                            General                                    "
Genshin Impact,https://www.metacritic.com/game/pc/genshin-impact,84,5.3,"Genre(s): Role-Playing,                                            Action RPG                                    "
Spiritfarer,https://www.metacritic.com/game/pc/spiritfarer,84,7.8,"Genre(s): Action Adventure,                                            Sandbox                                    "
Sega Ages: Fantasy Zone,https://www.metacritic.com/game/switch/sega-ages-fantasy-zone,84,7.7,"Genre(s): Action,                                            Shooter,                                            Shoot-'Em-Up,                                            Horizontal                                    "
Yakuza: Like a Dragon,https://www.metacritic.com/game/xbox-series-x/yakuza-like-a-dragon,84,7.4,"Genre(s): Role-Playing,                                            Japanese-Style                                    "
To the Moon,https://www.metacritic.com/game/switch/to-the-moon,84,8.2,"Genre(s): Adventure,                                            General                                    "
Resident Evil 3,https://www.metacritic.com/game/xbox-one/resident-evil-3,84,6.1,"Genre(s): Action Adventure,                                            Survival                                    "
The Legend of Heroes: Trails of Cold Steel III,https://www.metacritic.com/game/switch/the-legend-of-heroes-trails-of-cold-steel-iii,84,8.1,"Genre(s): Role-Playing,                                            Japanese-Style                                    "
Ghost of Tsushima,https://www.metacritic.com/game/playstation-4/ghost-of-tsushima,83,9.2,"Genre(s): General,                                            Action Adventure,                                            Open-World                                    "
Bayonetta & Vanquish,https://www.metacritic.com/game/xbox-one/bayonetta-vanquish,83,8,"Genre(s): Miscellaneous,                                            Compilation                                    "
Crash Bandicoot 4: It's About Time,https://www.metacritic.com/game/xbox-one/crash-bandicoot-4-its-about-time,83,8.6,"Genre(s): Action,                                            Platformer,                                            3D                                    "
MLB The Show 20,https://www.metacritic.com/game/playstation-4/mlb-the-show-20,83,6.6,"Genre(s): Sports,                                            Team,                                            Baseball,                                            Sim                                    "
DIRT 5,https://www.metacritic.com/game/xbox-one/dirt-5,83,6.3,"Genre(s): Racing,                                            Simulation,                                            Automobile                                    "
Knights and Bikes,https://www.metacritic.com/game/switch/knights-and-bikes,83,8.3,"Genre(s): Action Adventure,                                            General                                    "
Mega Man Zero / ZX Legacy Collection,https://www.metacritic.com/game/switch/mega-man-zero-zx-legacy-collection,83,8.5,"Genre(s): Miscellaneous,                                            Compilation                                    "
No More Heroes 2: Desperate Struggle,https://www.metacritic.com/game/switch/no-more-heroes-2-desperate-struggle,83,8.5,"Genre(s): Action,                                            Beat-'Em-Up,                                            3D                                    "
Creaks,https://www.metacritic.com/game/playstation-4/creaks,83,6.8,"Genre(s): Adventure,                                            General                                    "
Super Mega Baseball 3,https://www.metacritic.com/game/xbox-one/super-mega-baseball-3,83,6.6,"Genre(s): Sports,                                            Team,                                            Baseball,                                            Arcade                                    "
WRC 9 FIA World Rally Championship,https://www.metacritic.com/game/xbox-one/wrc-9-fia-world-rally-championship,83,5.8,"Genre(s): Racing,                                            Simulation,                                            Automobile                                    "
Astro's Playroom,https://www.metacritic.com/game/playstation-5/astros-playroom,83,9.3,"Genre(s): Action,                                            Platformer,                                            3D                                    "
Sega Ages: Sonic the Hedgehog 2,https://www.metacritic.com/game/switch/sega-ages-sonic-the-hedgehog-2,83,7.7,"Genre(s): Action,                                            Platformer,                                            2D                                    "
One Step From Eden,https://www.metacritic.com/game/pc/one-step-from-eden,83,8.7,"Genre(s): Strategy,                                            Real-Time,                                            Defense                                    "
